trial_number,state,value,proxy_value,n_params,duration_sec,base_learning_rate,weight_decay,label_smoothing,dice_weight
0,COMPLETE,0.9217808842658997,0.9217808842658997,4,963.406469,2.6194296832691538e-05,2.4049392869844973e-05,0.05578421392154063,0.2841659131479486
1,COMPLETE,0.9222549200057983,0.9222549200057983,4,955.100185,2.699161027377904e-05,0.00015989229318334947,0.04361290919041854,0.5419318180748564
2,PRUNED,,0.9188597202301025,4,503.318198,0.00144973272891078,0.01538514781520414,0.10218638860627552,0.1156674167968973
3,PRUNED,,0.9122511744499207,4,514.492018,0.0017651135603963192,9.380286282393335e-05,0.10225126253817195,0.41257358129755994
4,PRUNED,,0.9172666072845459,4,509.528354,1.3791739558541403e-05,0.046108907998860214,0.11546825021407076,0.758923217457601
5,COMPLETE,0.9283726215362549,0.9283726215362549,4,951.904408,0.0007206462704313353,0.029846608780154334,0.19228696083184332,0.08879556651461662
6,PRUNED,,0.9078236818313599,4,502.545027,0.004845838810942276,0.037218133494075205,0.036131816591349966,0.7340405333310653
7,PRUNED,,0.9177937507629395,4,515.756696,1.529169599278082e-05,4.5884910251935285e-05,0.1935209004337252,0.7752876543088433
8,COMPLETE,0.9267045259475708,0.9267045259475708,4,857.382452,0.00011731705009875732,4.802606587431851e-05,0.17955454626814216,0.024510228313733506
9,COMPLETE,0.9258116483688354,0.9258116483688354,4,962.175197,7.755259774191157e-05,7.641271401753553e-05,0.10500756465945685,0.00420838720693717
10,COMPLETE,0.9291781187057495,0.9291781187057495,4,950.345349,0.0004247064582863774,0.0031850722543989266,0.15415353484950692,0.2580448191177515
11,PRUNED,,0.9178376793861389,4,513.502865,0.0004252251320981134,0.0018504829012390676,0.1539229096761959,0.23521911015800107
12,PRUNED,,0.9107384085655212,4,509.808091,0.0004219314848404208,0.0042295158881190745,0.1477797121882257,0.9862946357091805
13,COMPLETE,0.9281579256057739,0.9281579256057739,4,956.062932,0.000987374010834515,0.006863007147253994,0.15631348600440345,0.23462030191410996
14,PRUNED,,0.9040434956550598,4,503.148776,0.009448502819567836,0.0005512928560219931,0.0029732215236093207,0.4047615175459156
15,COMPLETE,0.9282207489013672,0.9282207489013672,4,957.937319,0.00015705373812119623,0.0007173408269323037,0.19790929645007876,0.17428064858844383
16,COMPLETE,0.9281313419342041,0.9281313419342041,4,957.41941,0.0007233915891777828,0.07110001962490552,0.1339290051346965,0.3693818384298456
17,PRUNED,,0.9208601713180542,4,512.125094,0.00025237391255115966,0.012915059594281476,0.17125736002114506,0.5443877718119439
18,PRUNED,,0.9102164506912231,4,506.521369,0.002137743470537047,0.002315307325459331,0.07366498327128533,0.08992402498047986
19,PRUNED,,0.9072492122650146,4,503.805753,0.004152473820125536,0.0003161384241678187,0.1316815527030561,0.3241116310798535
20,COMPLETE,0.9252756237983704,0.9252756237983704,4,959.543718,6.46729539629307e-05,0.018571886513384404,0.17369844156739592,0.12868961389285305
21,COMPLETE,0.9286125898361206,0.9286125898361206,4,960.93857,0.00020709175912526017,0.0009322755486268086,0.19865712644272582,0.18683234604178675
22,COMPLETE,0.9287506341934204,0.9287506341934204,4,954.419089,0.00020222134537637885,0.0019987364663618945,0.19975822296984752,0.18804723894032144
23,COMPLETE,0.9287021160125732,0.9287021160125732,4,956.309494,0.00021938224298684102,0.0020158595316550486,0.1734199527104236,0.47874757008760843
24,COMPLETE,0.9268490672111511,0.9268490672111511,4,956.119098,8.219064892872885e-05,0.0023019069806986025,0.16684286201845286,0.6297310004646919
25,COMPLETE,0.9293918013572693,0.9293918013572693,4,957.23024,0.0003511211778378911,0.005261817731139248,0.1298355800160782,0.46748409040580674
26,PRUNED,,0.9202080965042114,4,507.194075,0.0004165439376422616,0.005385537610336595,0.12940210573921854,0.46766263493586857
27,PRUNED,,0.9213927984237671,4,424.351258,0.000770494364005243,0.0003143958687531954,0.08221182162740194,0.31272403223431977
28,PRUNED,,0.9219460487365723,4,504.861588,4.388592761482597e-05,0.004914562384592768,0.13940410543507817,0.6789408374713312
29,COMPLETE,0.9277336001396179,0.9277336001396179,4,958.475832,0.00013189367335091854,0.008245363327877505,0.12015178070395544,0.2700804508965976
30,PRUNED,,0.9190849661827087,4,511.317109,0.0003376029169619308,0.002765145081142486,0.0873854747562263,0.5998506977238615
31,PRUNED,,0.9193485975265503,4,501.179446,0.0002748185762975784,0.0014085316491048248,0.1789764307558033,0.4820003173406054
32,COMPLETE,0.9280878305435181,0.9280878305435181,4,960.616346,0.00016427741955389044,0.0012254469457403981,0.16178617937145567,0.3471896523620076
33,PRUNED,,0.9210717678070068,4,506.46521,4.101848854873234e-05,1.3862218817264223e-05,0.14564571709558244,0.4257869507305542
34,COMPLETE,0.928790807723999,0.928790807723999,4,700.641535,0.0005513811793163287,0.0003995250011282208,0.18676343753390792,0.5128905157413267
35,PRUNED,,0.9193933010101318,4,237.411282,0.0013744687291968897,0.00023629788446340297,0.18511377264852066,0.5586907106525834
36,PRUNED,,0.9204544425010681,4,239.087314,0.0005496452649808814,0.0005870161354022646,0.18591032148912923,0.27066106419605124
37,PRUNED,,0.9178506731987,4,238.54597,0.001177928860998978,0.010905533404963245,0.11885436957981121,0.1673612758144024
38,PRUNED,,0.9177888631820679,4,239.500747,0.0021273476810332206,0.0001504805866503992,0.15602117216019426,0.3920606591490371
39,PRUNED,,0.9189776182174683,4,239.503518,0.00047301959040734967,0.023152103718376314,0.18764063998149086,0.8077828813136967
40,PRUNED,,0.920989990234375,4,240.103344,0.0006389225016874809,0.0032702635766331378,0.1671910903987474,0.7002482944246351
41,PRUNED,,0.9218543767929077,4,240.024107,0.0002467610542038258,0.0016421088450805916,0.17718796999069542,0.45554506170178843
42,COMPLETE,0.9287561178207397,0.9287561178207397,4,448.313071,0.00018810114237721744,0.0008708159867964983,0.19994943600387544,0.5979794006156645
43,PRUNED,,0.9216551780700684,4,237.711371,0.00011548795961073065,0.0004593271614996767,0.19841886328489206,0.6198972061767785
44,PRUNED,,0.9189440608024597,4,239.569036,0.0003270141937438929,0.0009815257444098406,0.1879273422757273,0.5841069567090482
45,COMPLETE,0.9288797378540039,0.9288797378540039,4,449.054998,0.00018509199485491293,0.00012513645420349353,0.10755996661015169,0.5000261201197183
46,COMPLETE,0.9271278381347656,0.9271278381347656,4,446.992614,9.19284165008443e-05,0.00011369485422347063,0.1068229374997107,0.5238459391238058
47,PRUNED,,0.9143041968345642,4,237.753051,0.0009553272746041703,5.796499888948574e-05,0.05640886349548943,0.8249708059792493
48,PRUNED,,0.919317364692688,4,238.79118,2.2499539160709313e-05,2.4391334076779174e-05,0.09443179837309752,0.6520552379206626
49,COMPLETE,0.9284383058547974,0.9284383058547974,4,448.10414,0.00016061130741177828,0.00019600327717399487,0.1089759285568296,0.513486306714937
50,PRUNED,,0.9211126565933228,4,237.461537,0.00035724551098500524,0.0003863247097927207,0.14677908474725096,0.8636576534275315
51,COMPLETE,0.9282746315002441,0.9282746315002441,4,447.807058,0.0001922942417588574,0.0009052396292878474,0.12379953704299007,0.05540699711325406
52,PRUNED,,0.9207456111907959,4,237.681924,0.0005331008346795929,0.003553725997126517,0.14023076585010677,0.4403448767936079
53,COMPLETE,0.9276840686798096,0.9276840686798096,4,447.561232,0.00010665829231760166,0.000713468720316957,0.19217284158329728,0.5445890750376531
54,PRUNED,,0.921832263469696,4,237.612544,5.7408213657851146e-05,0.007723234071232256,0.16155814652852313,0.3718074851196611
55,PRUNED,,0.9175940752029419,4,238.45254,0.00025383445849698504,7.974676902734181e-05,0.1825945262860235,0.20350724087622704
56,PRUNED,,0.9181064963340759,4,238.720055,0.0008687324168456825,0.0002562186786477761,0.11212801677536291,0.5757775477158997
57,COMPLETE,0.9277223348617554,0.9277223348617554,4,447.821298,0.00014010059801707465,0.00013175495996447048,0.004420347823511611,0.23811108777297363
58,PRUNED,,0.9168308973312378,4,237.325888,0.0004122840902904784,0.00578704467327867,0.09808077432584456,0.5014657557098439
59,PRUNED,,0.9157503247261047,4,238.629063,1.0744967655626057e-05,3.319974239468384e-05,0.12797693047042447,0.7051158543327839
