study_name,study_label,param,top_n,median,mean,std,min,q25,q75,max
hpo_unet_resnet50,UNet ResNet50,base_learning_rate,10,0.0001871213538288165,0.00019832363168406953,4.5065286870482165e-05,0.00013936623916401084,0.00017235278589892414,0.00022194691042169676,0.000291707795824506
hpo_unet_resnet50,UNet ResNet50,dice_weight,10,0.30712163174451906,0.34792888473687195,0.10917082772341523,0.2525328055938977,0.275522977079733,0.3642132077157544,0.548004865252137
hpo_unet_resnet50,UNet ResNet50,label_smoothing,10,0.09045048670217444,0.08033625068004666,0.027612035818217022,0.01987222199299395,0.0775574011990973,0.09488449196875116,0.11124359390823149
hpo_unet_resnet50,UNet ResNet50,weight_decay,10,0.00724930734439929,0.036037016025471,0.044068731122627,0.00014767825496467705,0.00019766150111133585,0.08431806861480544,0.09422480958512011
hpo_segformer_resnet50,SegFormer ResNet50,base_learning_rate,10,0.0002132370010560506,0.00032103548780043216,0.00018965529582421717,0.00016061130741177828,0.0001916311931270078,0.0004063101381742558,0.0007206462704313353
hpo_segformer_resnet50,SegFormer ResNet50,dice_weight,10,0.47311583024670756,0.37923339742995377,0.1790813399843152,0.08879556651461662,0.20554663398467896,0.5096744168359246,0.5979794006156645
hpo_segformer_resnet50,SegFormer ResNet50,label_smoothing,10,0.18009169512216577,0.165136014652519,0.03748121248761355,0.10755996661015169,0.13591506872443537,0.19706458504000518,0.19994943600387544
hpo_segformer_resnet50,SegFormer ResNet50,weight_decay,10,0.0014655060074943516,0.004483185103163847,0.009052696173104538,0.00012513645420349353,0.0005173477475452901,0.002892769073712957,0.029846608780154334
hpo_deeplabv3plus_resnet50,DeepLabV3+ ResNet50,base_learning_rate,10,0.00013674763812796632,0.00014710455125574033,5.2795910113219914e-05,9.914806987614264e-05,0.0001196083817084123,0.00015080434717614554,0.0002872846430371693
hpo_deeplabv3plus_resnet50,DeepLabV3+ ResNet50,dice_weight,10,0.4244841525104213,0.39987571942573175,0.10365480948406086,0.25667258238738644,0.30409928928861907,0.47399775157084045,0.544243948690939
hpo_deeplabv3plus_resnet50,DeepLabV3+ ResNet50,label_smoothing,10,0.1553497251088597,0.13357668767615488,0.04670945194502623,0.02779253484004518,0.12059338671218389,0.16039094071632495,0.17788398274136782
hpo_deeplabv3plus_resnet50,DeepLabV3+ ResNet50,weight_decay,10,0.008557154769583006,0.024966188185274806,0.029676400870760754,0.0034600245760549996,0.008323093431102277,0.035884305371593886,0.09880278677033216
hpo_unetplusplus_resnet50,UNet++ ResNet50,base_learning_rate,10,0.00017392819103559913,0.00018414697008881946,6.164374711078038e-05,0.00010514820087941541,0.00015162954336377118,0.00021347598218505104,0.0003001526415845062
hpo_unetplusplus_resnet50,UNet++ ResNet50,dice_weight,10,0.15683279490291535,0.18996030458405305,0.10527836305727362,0.06018629495839095,0.14157551795580914,0.22753615044209596,0.4065061742074398
hpo_unetplusplus_resnet50,UNet++ ResNet50,label_smoothing,10,0.12480837007582532,0.1238255820740213,0.01835415420636216,0.08898068908390713,0.12087817416368239,0.12666633352315654,0.15105007564800155
hpo_unetplusplus_resnet50,UNet++ ResNet50,weight_decay,10,0.00868220226955397,0.009650657750657099,0.007822218607009452,1.4925347948787682e-05,0.006915865030771389,0.01031736661919029,0.025753306424855064
hpo_upernet_tu-convnextv2_base,UPerNet ConvNeXtV2 Base,base_learning_rate,10,0.00015324548959337646,0.00018188483526037494,0.00010563184321494468,9.274571422891368e-05,0.00010831385667296278,0.00021923266665604035,0.0004290872172592754
hpo_upernet_tu-convnextv2_base,UPerNet ConvNeXtV2 Base,dice_weight,10,0.11241212427789019,0.13190518750599256,0.08861379449965925,0.012443595932833007,0.09938590338036093,0.18071468960055964,0.2707663780213021
hpo_upernet_tu-convnextv2_base,UPerNet ConvNeXtV2 Base,label_smoothing,10,0.1127956562063625,0.10963494297159737,0.024608037130901986,0.07174279407065715,0.08839948615081336,0.13217479302042393,0.14123921559573643
hpo_upernet_tu-convnextv2_base,UPerNet ConvNeXtV2 Base,weight_decay,10,0.0010427388168254344,0.012927599384507682,0.027659616816805063,1.4738747514905373e-05,3.24512167470223e-05,0.013600086365719282,0.0890121048826105
hpo_upernet_tu-swin_base_patch4_window7_224,UPerNet Swin Base,base_learning_rate,10,0.00012287359742567673,0.00012719207535649243,4.8689481034198295e-05,4.880300625521442e-05,0.00010205217056926919,0.0001382684517439956,0.00022574102021621762
hpo_upernet_tu-swin_base_patch4_window7_224,UPerNet Swin Base,dice_weight,10,0.44320007954936846,0.3737845550488973,0.1904684561120143,0.04204985698793845,0.2186308617865958,0.5366801736868012,0.5695763395719053
hpo_upernet_tu-swin_base_patch4_window7_224,UPerNet Swin Base,label_smoothing,10,0.027882108617668475,0.034962374293017594,0.03378282998577134,0.000934566399205727,0.002640854288761251,0.06009946050555459,0.0898624587600813
hpo_upernet_tu-swin_base_patch4_window7_224,UPerNet Swin Base,weight_decay,10,5.684223121122323e-05,0.011002376629699316,0.031001822071403774,1.0217679881970903e-05,2.2675689529751346e-05,0.00023753297406025735,0.09871577115846378
hpo_dpt_tu-vit_base_patch16_224.mae,DPT ViT-B MAE,base_learning_rate,10,5.850952819220135e-05,5.473726547564775e-05,2.2650107683431414e-05,1.777983013394755e-05,4.2610749900400566e-05,7.225881026855115e-05,8.015338197041488e-05
hpo_dpt_tu-vit_base_patch16_224.mae,DPT ViT-B MAE,dice_weight,10,0.15424178012312445,0.16447569630931502,0.09059180860982997,0.005463905767665089,0.12975755143939055,0.2144089474543698,0.33580269288350895
hpo_dpt_tu-vit_base_patch16_224.mae,DPT ViT-B MAE,label_smoothing,10,0.15754253643544402,0.14078437795610144,0.05907378308985236,0.007645455642429563,0.1222979505255356,0.18435829824327504,0.19288086179894304
hpo_dpt_tu-vit_base_patch16_224.mae,DPT ViT-B MAE,weight_decay,10,0.001095396735521813,0.0054382325612544555,0.009094788261013637,1.87510139690751e-05,2.854213525536007e-05,0.007332434455522851,0.02874347220642999
